"[nfe.CNPJ]","CNPJ"
"[nfe.enderEmit][nfe.xLgr]","Endereço" 	
"[nfe.enderEmit][nfe.nro]","Número" 	
"[nfe.enderEmit][nfe.xBairro]","Bairro"	
"[nfe.enderEmit][nfe.cMun]","Código do Município" 	
"[nfe.enderEmit][nfe.xMun]","Município" 	
"[nfe.enderEmit][nfe.UF]","Estado" 	
"[nfe.enderEmit][nfe.CEP]","CEP" 	
"[nfe.enderEmit][nfe.cPais]","Código do País"	
"[nfe.enderEmit][nfe.xPais]","País" 	
"[nfe.CRT]","Cód. Regime Tributário" 
"[nfe.CPF]","CPF"
"[nfe.xNome]","Nome" 	
"[nfe.IE]","Inscrição Estadual" 	
"[nfe.enderDest][nfe.xLgr]","Endereço" 	
"[nfe.enderDest][nfe.nro]","Número" 	
"[nfe.enderDest][nfe.xBairro]","Bairro" 	
"[nfe.enderDest][nfe.cMun]","Código do Município"
"[nfe.enderDest][nfe.xMun]","Município" 	
"[nfe.enderDest][nfe.UF]","Estado" 	
"[nfe.enderDest][nfe.cPais]","Código do País" 	
"[nfe.enderDest][nfe.xPais]","País" 	
"[nfe.enderDest][nfe.CEP]","CEP"
"[@nItem]","Item" 	
"[nfe.prod][nfe.cProd]","Cód. do Produto" 	
"[nfe.prod][nfe.cEAN]","EAN"  	
"[nfe.prod][nfe.cEANTrib]","EAN Tributável"  	
"[nfe.prod][nfe.xProd]","Produto"  	
"[nfe.prod][nfe.vProd]","Valor do Produto" 	
"[nfe.prod][nfe.indTot]","Indicativo de Total" 	
"[nfe.prod][nfe.CFOP]","CFOP" 	
"[nfe.prod][nfe.NCM]","NCM" 	
"[nfe.prod][nfe.uCom]","Unidade Comercial" 	
"[nfe.prod][nfe.qCom]","Quantidade Comercial" 	
"[nfe.prod][nfe.vUnCom]","Valor Unitário de Comercialização" 	
"[nfe.prod][nfe.uTrib]","Unidade Tributável" 	
"[nfe.prod][nfe.qTrib]","Quantidade Tributável" 	
"[nfe.prod][nfe.vUnTrib]","Valor de Unidade Tributável" 	
"[nfe.imposto][nfe.ICMS][nfe.ICMS00][nfe.orig]","Origem da Mercadoria" 	
"[nfe.imposto][nfe.ICMS][nfe.ICMS00][nfe.CST]","ICMS CST" 	
"[nfe.imposto][nfe.ICMS][nfe.ICMS00][nfe.modBC]","Modalidade de determinação da BC" 	
"[nfe.imposto][nfe.ICMS][nfe.ICMS00][nfe.vBC]","Valor Base de Cálculo" 	
"[nfe.imposto][nfe.ICMS][nfe.ICMS00][nfe.pICMS]","Alíquota do imposto" 	
"[nfe.imposto][nfe.ICMS][nfe.ICMS00][nfe.vICMS]","Valor do ICMS" 	
"[nfe.imposto][nfe.COFINS][nfe.COFINSNT][nfe.CST]","COFINS CST" 	
"[nfe.imposto][nfe.PIS][nfe.PISNT][nfe.CST]","PISNT CST"
"[nfe.ICMSTot][nfe.vBC]","Base de Cálculo" 	
"[nfe.ICMSTot][nfe.vProd]","Valor do Produto" 	
"[nfe.ICMSTot][nfe.vICMS]","Valor do ICMS"  	
"[nfe.ICMSTot][nfe.vCOFINS]","Valor COFINS" 	
"[nfe.ICMSTot][nfe.vST]","Valor ST" 	 	
"[nfe.ICMSTot][nfe.vBCST]","Valor BCST" 	 	
"[nfe.ICMSTot][nfe.vFrete]","Valor Frete" 	 	
"[nfe.ICMSTot][nfe.vSeg]","Valor Seguro" 	 	
"[nfe.ICMSTot][nfe.vDesc]","Desconto" 	 	
"[nfe.ICMSTot][nfe.vII]","Valor II" 	 	
"[nfe.ICMSTot][nfe.vIPI]","Valor IPI" 	 	
"[nfe.ICMSTot][nfe.vPIS]","Valor PIS" 	 	
"[nfe.ICMSTot][nfe.vOutro]","Valor Outro" 	 	
"[nfe.ICMSTot][nfe.vNF]","Valor NF"
"[nfe.prod][nfe.vFrete]","Valor do Frete"
"[nfe.prod][nfe.vDesc]","Valor do Desconto"
"[nfe.prod][nfe.vSeg]","Valor do Seguro"
"[nfe.prod][nfe.vOutro]","Outros Valores"
"[nfe.infAdic][nfe.infCpl]","Informações Complementares"
"[nfe.imposto][nfe.COFINS][nfe.COFINSAliq][nfe.CST]","COFINS CST"
"[nfe.imposto][nfe.COFINS][nfe.COFINSAliq][nfe.vBC]","Base de Cálculo COFINS"	
"[nfe.imposto][nfe.COFINS][nfe.COFINSAliq][nfe.pCOFINS]", "Alíquota COFINS"	
"[nfe.imposto][nfe.COFINS][nfe.COFINSAliq][nfe.vCOFINS]","Valor COFINS"
"[nfe.imposto][nfe.PIS][nfe.PISAliq][nfe.CST]", "PIS CST"  	
"[nfe.imposto][nfe.PIS][nfe.PISAliq][nfe.vBC]", "Base de Cálculo PIS"		
"[nfe.imposto][nfe.PIS][nfe.PISAliq][nfe.pPIS]", "Alíquota PIS"	
"[nfe.imposto][nfe.PIS][nfe.PISAliq][nfe.vPIS]", "Valor PIS"
"[nfe.enderEmit][nfe.fone]","Fone"
"[nfe.enderDest][nfe.fone]","Fone"
"[nfe.enderDest][nfe.xCpl]","Complemento"
"[nfe.transporta][nfe.xMun]","Município"
"[nfe.transporta][nfe.CNPJ]","CNPJ"
"[nfe.transporta][nfe.IE]","Inscrição Estadual"
"[nfe.transporta][nfe.xNome]","Nome"
"[nfe.transporta][nfe.xEnder]","Endereço"
"[nfe.transporta][nfe.UF]","UF"
"[nfe.vol][nfe.esp]","Espécie"
"[nfe.vol][nfe.pesoB]","Peso Bruto"
"[nfe.vol][nfe.pesoL]","Peso Líquido"
"[nfe.vol][nfe.qVol]","Qtd. Volumes"
"[nfe.modFrete]","Modalidade do Frete"
"error","Erro"
"processing","Processando" 	
"finished","Completo" 	
"pending_nf","Entrega Parcial" 	
"complete_nf","Completo" 	
"error_nf","Completo" 

